student_id,gender,department,semester,gpa_band,ds1_gpa,ds1_studytimeweekly,ds1_absences,ds1_tutoring,ds1_parentalsupport,ds1_extracurricular,ds1_sports,ds1_music,ds1_volunteering,ds1_parentaleducation,ds2_study_hours_per_day,ds2_sleep_hours_per_day,ds2_social_hours_per_day,ds2_physical_activity_hours_per_day,ds2_extracurricular_hours_per_day,ds2_stress_level,ds4_university_gpa,ds4_field_of_study,ds4_internships_completed,ds4_projects_completed,ds4_certifications,ds4_soft_skills_score,ds4_networking_score,ds4_job_offers,ds4_starting_salary,ds4_career_satisfaction,ds4_work_life_balance,ds4_current_job_level,ds5_major,ds5_interested_domain,ds5_future_career,ds5_projects,ds5_python,ds5_sql,ds5_java
STU_00030,0,ECE,2,low,2.1728123218250155,11.301475829602106,7,0,1,0,0,0,1,1,5.7,8.6,3.0,6.4,0.3,Low,2.9,Business,1,4,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00031,0,ECE,2,medium,2.8020738343659453,13.733008467080746,6,0,2,1,1,0,0,3,6.6,5.8,3.0,7.0,1.6,High,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,Computer Science,Web Development,Web Developer,E-commerce Website,Weak,Strong,Strong
STU_00032,0,IT,8,medium,2.556801662833417,3.258053089547881,8,0,2,1,1,0,0,1,5.8,7.2,3.0,4.1,3.9,Low,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,Computer Science,Computer Graphics,Graphics Programmer,3D Rendering,Weak,Average,Strong
STU_00033,1,CSE,5,low,2.198593184586961,14.44747015265597,13,1,2,0,0,0,0,0,5.3,5.2,0.4,11.1,2.0,High,2.9,Arts,0,2,0,6,4,0,35000,5,7,Entry,,,,,,,
STU_00034,1,CSE,7,very_high,3.8302053754229743,12.57442774051164,0,1,3,1,0,0,0,1,9.7,6.4,4.1,0.7,3.1,High,3.6,Engineering,3,7,3,8,7,3,94000,8,6,Mid,Computer Science,Web Development,Web Developer,E-commerce Website,Weak,Strong,Strong
STU_00035,1,ECE,5,low,2.220050546998637,3.206180790311377,10,0,1,1,1,0,1,0,6.1,9.9,2.6,1.4,4.0,Moderate,2.9,Arts,0,2,0,5,4,0,38000,5,7,Entry,,,,,,,
STU_00036,0,ECE,5,low,1.7555440233413917,4.784221760684375,15,0,1,1,0,1,0,2,5.3,7.7,3.8,5.1,2.1,Low,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00037,1,CSE,5,medium,2.546634577748015,11.709718766300712,5,1,3,0,0,0,0,1,5.2,6.0,2.4,9.9,0.5,Low,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,Computer Science,Computer Graphics,Graphics Programmer,3D Rendering,Weak,Average,Strong
STU_00038,0,IT,7,low,1.9241023198927736,15.90145762362328,13,0,2,1,0,0,0,3,5.5,8.9,1.0,5.1,3.5,Low,2.9,Arts,0,2,0,5,4,0,38000,5,7,Entry,,,,,,,
STU_00039,0,CSE,1,high,3.120136639384952,5.915056692406589,2,1,3,0,0,0,0,1,5.7,8.1,3.2,3.8,3.2,Low,3.2,Marketing,2,5,2,7,6,2,64000,7,7,Mid,Computer Science,Computer Graphics,Game Developer,Game Development,Weak,Average,Strong
STU_00040,1,ECE,4,low,1.9241023198927736,15.90145762362328,13,0,2,1,0,0,0,3,5.8,9.3,5.7,2.5,0.7,Low,2.8,Arts,0,2,0,5,4,0,32000,5,7,Entry,,,,,,,
STU_00041,1,CSE,1,medium,2.7124204664131986,18.852194203173116,3,0,0,1,0,0,0,1,5.1,8.9,3.4,5.2,1.4,Low,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,Computer Science,Data Science,Data Scientist,Machine Learning,Average,Strong,Weak
STU_00042,1,Mechanical,7,very_low,1.07029676373108,6.265014809776439,20,0,2,1,0,0,0,2,6.1,9.7,2.8,2.5,2.9,Moderate,2.8,Arts,0,2,0,5,4,0,32000,5,7,Entry,,,,,,,
STU_00043,0,IT,8,very_low,1.06642462275961,17.220176426160272,28,0,4,0,0,0,0,2,5.5,6.7,5.2,4.8,1.8,Low,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00044,1,IT,4,very_low,0.5764027197831978,0.1850504487180471,26,0,4,0,0,0,0,1,6.1,5.7,1.1,9.3,1.8,High,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00045,1,CSE,3,very_low,1.293573556445951,5.370001523949908,22,1,3,0,0,0,0,3,5.9,5.5,3.8,6.9,1.9,High,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00046,1,ECE,3,very_low,1.25865485443205,16.50269751322838,25,1,2,0,0,1,0,2,6.1,9.7,2.8,2.5,2.9,Moderate,3.0,Psychology,1,3,1,6,5,1,44000,6,8,Entry,,,,,,,
STU_00047,0,ECE,7,very_low,1.0410289006678957,0.6757830189649727,19,1,0,0,0,0,0,2,5.6,7.1,2.3,5.5,3.5,Low,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00048,1,IT,8,very_low,1.385696220554564,5.365520409071134,15,0,2,0,0,0,0,2,6.7,5.6,2.5,9.1,0.1,High,3.0,Arts,1,3,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00049,0,ECE,5,low,1.8347494481922708,9.957383610286383,10,0,1,0,1,0,1,2,5.3,7.6,4.5,4.2,2.4,Low,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00050,1,IT,7,low,2.295213477500577,10.298589907849657,11,1,0,1,0,0,0,3,5.7,5.0,1.0,9.3,3.0,High,3.0,Business,1,4,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00051,0,IT,3,low,1.5219159011875882,5.371592086659332,17,0,2,1,0,0,0,1,6.3,8.8,3.6,2.6,2.7,Moderate,3.0,Business,1,4,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00052,1,IT,6,very_low,1.3742882826190426,14.593568272944824,19,0,1,1,0,1,1,1,5.7,5.0,1.0,9.3,3.0,High,3.0,Arts,1,3,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00053,1,CSE,1,very_low,0.6404398092314469,18.40227626645257,22,0,0,0,1,0,0,0,5.3,5.2,0.4,11.1,2.0,High,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00054,0,CSE,7,high,3.138784394067383,13.023954241906928,13,1,2,1,1,0,0,2,9.5,9.0,1.5,1.5,2.5,High,3.5,Psychology,3,7,3,9,8,3,94000,8,6,Mid,Computer Science,Data Science,Data Analyst,Data Mining,Average,Weak,Strong
STU_00055,1,CSE,2,low,2.4503354431504625,8.745632964892351,9,0,3,0,0,0,0,1,5.1,6.6,0.3,9.2,2.8,Low,2.8,Arts,0,2,0,5,4,0,32000,5,7,Entry,,,,,,,
STU_00056,0,ECE,7,low,1.5487102111350304,4.224165171759033,19,0,3,0,1,1,0,2,5.5,9.1,4.4,1.4,3.6,Low,2.8,Arts,0,2,0,5,4,0,31000,5,7,Entry,,,,,,,
STU_00057,0,ECE,2,very_low,0.6361329335031771,13.148886543549295,27,0,3,0,0,0,0,2,5.3,7.6,4.5,4.2,2.4,Low,2.9,Arts,0,2,0,6,5,0,34000,5,7,Entry,,,,,,,
STU_00058,1,Mechanical,2,medium,2.615653764886057,3.410607787875506,5,0,0,0,0,0,0,0,6.5,8.0,4.2,2.7,2.6,Moderate,3.0,Psychology,1,3,1,6,5,1,46000,6,7,Entry,Computer Science,Cybersecurity,Information Security Analyst,Network Security,Average,Weak,Strong
STU_00059,0,ECE,2,very_low,1.360142712316461,15.424496305808074,22,1,1,1,0,0,0,4,5.2,9.8,3.0,4.6,1.4,Low,3.0,Psychology,1,3,1,6,5,1,46000,6,7,Entry,,,,,,,
STU_00060,1,ECE,2,low,1.878264180025782,9.612960566248178,10,0,1,0,0,0,0,2,6.0,6.8,6.0,2.7,2.5,Moderate,2.9,Arts,0,2,0,6,5,0,34000,5,7,Entry,,,,,,,
STU_00061,1,IT,1,very_high,3.836698640240594,18.67230755670188,4,1,3,1,1,0,1,2,8.8,9.8,3.0,1.0,1.4,High,3.7,Marketing,3,8,3,9,8,4,102000,9,6,Mid,Computer Science,Artificial Intelligence,NLP Research Scientist,Natural Language Processing,Strong,Average,Weak
STU_00062,1,ECE,6,low,1.7643543086537177,15.843798765504902,17,0,0,1,0,0,0,1,5.8,7.0,0.3,9.5,1.4,Low,2.8,Arts,0,2,0,5,4,0,31000,5,7,Entry,,,,,,,
STU_00063,0,CSE,7,low,1.7660559772918876,14.610293080526532,16,1,3,0,0,0,1,3,5.3,7.7,3.8,5.1,2.1,Low,3.0,Arts,1,3,1,6,5,1,46000,6,8,Entry,,,,,,,
STU_00064,1,CSE,1,low,2.145848670885439,13.38696701525592,18,0,4,0,1,1,0,3,5.9,5.5,3.8,6.9,1.9,High,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00065,0,IT,7,medium,2.79138610847234,14.252028145967865,8,0,3,0,0,0,0,0,8.6,8.5,0.0,4.3,2.6,High,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,Computer Science,Data Science,Data Scientist,Machine Learning,Average,Strong,Weak
STU_00066,0,CSE,7,medium,2.7718106588704914,18.484368696853203,11,1,3,1,0,0,0,1,7.7,8.8,3.5,3.6,0.4,Moderate,3.0,Arts,1,3,1,6,5,1,46000,6,8,Entry,Computer Science,Mobile App Development,Mobile App Developer,Android App Development,Average,Weak,Strong
STU_00067,1,IT,1,very_low,0.8544646477713151,15.450451835250888,27,0,3,0,0,1,0,1,5.7,6.0,3.0,6.8,2.5,Low,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00068,0,ECE,1,very_low,1.0281836891510068,6.013112811214882,22,0,3,0,0,0,0,0,5.6,7.1,2.3,5.5,3.5,Low,3.0,Psychology,1,3,1,6,5,1,46000,6,7,Entry,,,,,,,
STU_00069,0,ECE,7,very_low,1.0784851348128086,19.521411720638085,29,0,3,1,1,0,0,0,5.8,9.3,5.7,2.5,0.7,Low,2.9,Business,1,4,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00070,1,CSE,5,very_low,0.7146512864203396,4.997349305158587,27,0,2,1,0,0,0,3,7.0,7.1,5.8,1.4,2.7,Moderate,3.0,Business,1,4,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00071,0,Civil,1,very_low,0.7095708392685087,8.882260103508129,25,1,1,0,0,0,0,0,5.5,6.7,5.2,4.8,1.8,Low,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00072,1,CSE,1,high,3.279646224162432,3.8516326491705577,0,0,3,1,0,0,0,2,9.4,9.8,1.0,0.2,3.6,High,3.5,Medicine,3,7,3,9,8,3,92000,8,6,Mid,Computer Science,Mobile App Development,Mobile App Developer,iOS App Development,Weak,Strong,Average
STU_00073,1,CSE,3,high,3.0526409582889382,6.969559515913106,0,1,2,0,0,0,0,0,7.4,5.6,1.7,6.7,2.6,High,3.5,Psychology,3,7,3,8,7,3,88000,8,7,Mid,Computer Science,Information Retrieval,SEO Specialist,Search Engine Optimization,Weak,Average,Strong
STU_00074,0,CSE,1,very_low,0.3397153849684515,2.836887952339704,27,0,1,0,0,0,0,2,7.0,7.1,5.8,1.4,2.7,Moderate,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00075,0,Civil,6,low,1.676727436835331,5.16528715774327,19,1,3,0,0,0,0,3,5.7,5.0,1.0,9.3,3.0,High,2.8,Arts,0,2,0,5,4,0,31000,5,7,Entry,,,,,,,
STU_00076,1,IT,7,low,2.255698914963147,18.018154605339813,12,0,2,0,0,0,0,1,6.1,9.7,2.8,2.5,2.9,Moderate,3.0,Marketing,1,3,1,6,5,1,40000,6,8,Entry,,,,,,,
STU_00077,0,CSE,7,high,3.3669295153821057,12.67699637470648,5,0,3,1,0,1,0,1,6.3,9.0,3.4,1.8,3.5,Moderate,3.2,Business,1,4,1,7,6,1,52000,6,7,Entry,Computer Science,Mobile App Development,Mobile App Developer,Android App,Average,Weak,Strong
STU_00078,0,CSE,8,low,2.404089819888117,11.112343093648056,11,0,3,0,0,0,0,1,5.8,9.3,5.7,2.5,0.7,Low,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00079,0,CSE,2,very_low,0.8399765237396326,4.637192277656967,25,0,4,1,0,1,0,2,5.1,6.6,0.3,9.2,2.8,Low,3.0,Psychology,1,3,1,6,5,1,46000,6,7,Entry,,,,,,,
STU_00080,1,CSE,8,very_low,0.2432980938442744,4.999179624789911,26,1,1,0,0,0,0,1,5.9,6.3,1.4,7.0,3.4,Low,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00081,1,IT,2,low,2.086687740995232,6.104290602577183,7,0,2,1,0,0,0,1,5.7,6.0,3.0,6.8,2.5,Low,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00082,0,Civil,3,very_low,1.4684288845931317,16.223252077582643,24,0,3,1,1,0,0,0,6.3,8.8,3.6,2.6,2.7,Moderate,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00083,0,ECE,1,low,1.9146018444641888,10.10056092297534,14,1,1,0,0,0,0,3,6.2,6.1,0.4,9.8,1.5,Moderate,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00084,0,IT,7,high,3.347356743507809,16.388557073407302,3,1,4,0,0,0,0,2,7.1,6.8,4.5,4.6,1.0,Moderate,3.4,Marketing,2,5,2,7,6,2,76000,7,6,Mid,Computer Science,Database Management,Database Administrator,SQL Query Optimization,Average,Weak,Strong
STU_00085,0,ECE,8,low,2.4709240029839887,11.528111029072669,9,0,2,0,1,0,0,2,5.2,8.4,0.1,7.9,2.4,Low,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00086,1,IT,8,very_low,1.122889381075435,17.53120981577435,25,1,3,0,0,0,0,1,5.5,6.7,5.2,4.8,1.8,Low,3.0,Psychology,1,3,1,6,5,1,46000,6,7,Entry,,,,,,,
STU_00087,0,Civil,3,very_high,3.576909015459067,19.27635322376361,3,1,4,0,0,0,0,2,9.9,9.8,0.2,3.0,1.1,High,3.7,Psychology,3,8,3,9,8,4,100000,9,6,Mid,Computer Science,Digital Forensics,Digital Forensics Specialist,Computer Forensic Analyst,Weak,Average,Strong
STU_00088,1,Mechanical,2,low,1.899197563198893,5.789957302394393,11,1,0,1,0,0,0,0,5.3,5.2,0.4,11.1,2.0,High,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00089,1,ECE,5,very_low,0.7696361214560695,9.648472031894578,21,0,1,0,0,0,0,1,5.2,8.4,0.1,7.9,2.4,Low,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00090,0,IT,6,very_low,1.3423871779577343,0.9213833935093518,20,0,2,0,1,1,0,4,5.3,10.0,2.0,6.3,0.4,Low,3.0,Marketing,1,3,1,6,5,1,40000,6,8,Entry,,,,,,,
STU_00091,1,CSE,2,very_low,1.4277243762746905,0.1357634804717955,17,0,2,0,1,1,1,4,6.3,7.6,1.9,5.2,3.0,Moderate,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00092,1,ECE,5,low,2.16155873707839,19.011879318622487,17,0,2,1,0,0,0,2,6.0,6.8,6.0,2.7,2.5,Moderate,3.0,Arts,1,3,1,6,5,1,46000,6,8,Entry,,,,,,,
STU_00093,1,Mechanical,1,medium,2.747908442514612,8.978234451855801,3,0,2,0,1,0,0,4,5.5,6.4,1.2,8.2,2.7,Low,2.9,Psychology,1,3,1,6,5,1,44000,6,8,Entry,Computer Science,Database Management,Database Administrator,SQL Query Optimization,Average,Weak,Strong
STU_00094,0,CSE,5,low,2.2113795279733512,2.3854334407948685,11,1,2,0,0,0,0,3,6.0,6.8,6.0,2.7,2.5,Moderate,3.0,Psychology,1,3,1,6,5,1,46000,6,7,Entry,,,,,,,
STU_00095,0,CSE,1,very_low,0.3527519592274268,0.2328979900619243,22,0,0,0,0,0,0,0,6.0,6.8,6.0,2.7,2.5,Moderate,3.0,Arts,1,3,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00096,1,IT,2,low,2.4818134094533937,19.598288655647607,15,0,2,1,0,0,0,2,5.3,10.0,2.0,6.3,0.4,Low,3.0,Business,1,4,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00097,0,IT,2,very_high,4.0,19.424398237709887,0,0,3,0,1,1,1,2,8.7,9.6,4.6,0.5,0.6,High,3.7,Business,3,8,3,9,8,4,106000,9,6,Mid,Computer Science,Artificial Intelligence,NLP Research Scientist,Natural Language Processing,Strong,Average,Weak
STU_00098,1,CSE,3,low,2.200020267296471,16.560865715485043,12,0,2,0,0,0,0,3,6.7,5.6,2.5,9.1,0.1,High,3.0,Arts,1,3,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00099,0,CSE,8,very_high,3.5921289778598062,1.317843300639454,0,1,2,0,0,1,0,4,9.6,9.2,1.4,1.8,2.0,High,3.6,Marketing,3,7,3,9,8,3,94000,9,6,Mid,Computer Science,Artificial Intelligence,NLP Research Scientist,Natural Language Processing,Strong,Average,Weak
STU_00100,1,CSE,5,high,3.1326292974173744,9.219391844250794,6,1,3,0,0,1,0,1,6.3,8.1,0.9,6.3,2.4,Moderate,3.4,Business,2,6,2,8,7,2,78000,7,6,Mid,Computer Science,Game Development,Game Developer,Mobile Game Development,Weak,Strong,Average
STU_00101,1,CSE,8,very_low,1.1162284613450342,8.052228766803253,24,0,1,1,1,1,0,3,5.8,7.0,0.3,9.5,1.4,Low,2.9,Arts,0,2,0,5,4,0,38000,5,7,Entry,,,,,,,
STU_00102,1,CSE,1,medium,2.7535902317989964,0.4776838263828553,3,0,3,0,1,0,0,3,7.0,5.5,3.9,5.0,2.6,High,3.0,Business,1,4,1,6,5,1,52000,6,8,Entry,Computer Science,Game Development,Game Developer,Mobile Game Development,Weak,Strong,Average
STU_00103,0,CSE,2,low,1.945989188418632,0.4691804344230887,11,0,2,0,0,0,0,4,5.9,6.3,1.4,7.0,3.4,Low,2.9,Business,1,4,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00104,0,Civil,5,low,2.4556437547462835,2.3289104816942285,6,0,2,0,0,0,0,1,6.1,9.7,2.8,2.5,2.9,Moderate,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00105,1,ECE,6,very_low,1.1708122846030742,3.006212449679375,23,0,3,1,0,1,0,2,6.8,8.9,4.0,1.3,3.0,Moderate,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00106,1,IT,3,low,2.131780853915055,9.435126187817486,14,0,2,1,0,0,0,2,5.4,6.9,1.9,6.2,3.6,Low,3.0,Psychology,1,3,1,6,5,1,46000,6,7,Entry,,,,,,,
STU_00107,1,IT,5,very_low,0.2865712882866222,10.87755842322235,29,0,3,1,0,0,0,4,5.7,8.6,3.0,6.4,0.3,Low,3.0,Psychology,1,3,1,6,5,1,42000,6,8,Entry,,,,,,,
STU_00108,1,IT,4,low,2.403284547023526,9.20205253115376,10,0,4,1,0,0,1,3,6.0,6.8,0.3,9.4,1.5,Moderate,2.9,Business,1,4,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00109,0,IT,8,low,1.7181817231817458,8.57450283502963,16,0,3,0,0,0,0,0,5.9,5.5,3.8,6.9,1.9,High,3.0,Arts,1,3,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00110,1,ECE,2,high,3.2094931359032093,6.511622650380229,6,1,2,0,1,1,0,4,8.6,7.6,0.8,4.1,2.9,High,3.2,Marketing,2,5,2,7,6,2,64000,7,7,Mid,Computer Science,Artificial Intelligence,AI Researcher,Reinforcement Learning,Strong,Weak,Average
